Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Relay1 Txs in this block,# of Relay2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Relay1 Txs) (Duration: Relay1 proposed -> Relay1 Commit)","SUM of confirm latency (ms, Relay2 Txs) (Duration: Relay1 proposed -> Relay2 Commit)"
1,0,12,390,267,92,1774576643381,1774576643392,1571844,1076197,370720
2,0,43,403,110,251,1774576647382,1774576647394,3230531,880194,2014478
3,0,128,586,154,343,1774576651391,1774576651403,7026411,1844857,4115623
4,0,59,545,109,393,1774576655386,1774576655396,8700838,1737562,6277747
5,0,1,215,21,194,1774576659378,1774576659384,3869158,81061,3788097
6,0,37,395,203,169,1774576663383,1774576663394,4805517,1592894,3032100
7,0,127,589,223,349,1774576667396,1774576667410,8728858,2638101,5889611
8,0,0,269,20,248,1774576671382,1774576671389,4290290,315552,3958945
9,0,14,303,106,185,1774576675384,1774576675394,3820039,393671,3381832
10,0,25,366,131,218,1774576679385,1774576679396,4242331,1008506,3102926
11,0,42,426,60,363,1774576683392,1774576683400,6808967,700236,6073723
12,0,8,400,109,283,1774576687391,1774576687401,7657394,1705087,5827135
13,0,20,429,117,305,1774576691393,1774576691404,6830799,418479,6387280
14,0,94,333,43,287,1774576695390,1774576695400,7381711,324905,7034130
15,0,10,318,59,258,1774576699390,1774576699401,6976185,679718,6284948
16,0,7,400,137,255,1774576703393,1774576703404,8980813,2122889,6733980
1,1,0,0,0,0,1774576707304,1774576707308,0,0,0
2,1,0,107,99,0,1774576711307,1774576711312,302543,279917,0
3,1,0,405,146,246,1774576715314,1774576715323,2763800,993388,1682004
4,1,0,365,46,317,1774576719316,1774576719324,3942847,495711,3425567
5,1,0,422,137,260,1774576723319,1774576723328,6231684,2020325,3842644
6,1,0,600,87,502,1774576727327,1774576727339,10002955,522447,9418913
7,1,0,347,92,242,1774576731322,1774576731331,5623573,612313,4924794
8,1,0,488,141,335,1774576735328,1774576735338,5331995,1498801,3705619
9,1,0,402,88,310,1774576739327,1774576739335,5885381,1285278,4541670
10,1,0,349,19,330,1774576743326,1774576743336,6227951,80266,6147685
11,1,0,294,115,171,1774576747324,1774576747331,4585698,748310,3785337
12,1,0,394,86,305,1774576751327,1774576751335,5635890,901960,4702481
13,1,0,409,74,325,1774576755326,1774576755337,7116920,1070106,5902262
14,1,0,373,82,287,1774576759330,1774576759338,6669117,260827,6398685
15,1,0,405,89,308,1774576763331,1774576763339,6130721,567578,5512127
16,1,0,350,18,331,1774576767327,1774576767335,5362212,186156,5165723
17,1,0,354,127,218,1774576771324,1774576771331,6517083,1818049,4570199
1,2,0,315,0,315,1774576776093,1774576776098,30832448,0,30832448
2,2,0,203,76,125,1774576780095,1774576780100,13343828,190553,13148266
3,2,8,372,87,283,1774576784101,1774576784110,14285735,565496,13707234
4,2,0,387,106,275,1774576788106,1774576788115,11159579,1110118,9986647
5,2,0,405,77,324,1774576792107,1774576792115,15923309,1112436,14753095
6,2,0,297,18,279,1774576796105,1774576796113,14005411,171148,13834263
7,2,0,291,83,191,1774576800102,1774576800108,11642083,525757,11008728
8,2,0,363,90,269,1774576804108,1774576804118,13604927,928169,12635508
9,2,0,411,140,266,1774576808112,1774576808120,12767750,2000360,10695914
